Record_ID,Event_Timestamp,Work_Order,Serial_Number,Line,Shift,Station_ID,Test_Category,Measurement_Name,Measurement_Value,Measurement_Unit,Lower_Spec_Limit,Upper_Spec_Limit,Target_Value,Test_Duration_s,Result,Attempt_Number,Error_Code,Operator_ID,Fixture_ID,Recipe_ID,Ambient_Temp_C,Humidity_pct,Source_Record_Text,Notes
REC-0018,,NS-84721,AX10003,Line 2,Day,STN-03,Press Fit,press force,4.31,kN,4.5,5.2,4.85,,FAIL,1,FORCE_LOW,,,,,,AX10003; press force 4.31kN; insertion depth 12.14; force window [4.5..5.2]; FAIL-LOW,
REC-0019,,NS-84721,AX10003,Line 2,Day,STN-03,Press Fit,insertion depth,12.14,,11.8,12.2,12,,FAIL,1,FORCE_LOW,,,,,,AX10003; press force 4.31kN; insertion depth 12.14; force window [4.5..5.2]; FAIL-LOW,
REC-0020,,NS-84721,AX10004,Line 2,Day,STN-03,Press Fit,Fpeak,5.08,KN,,,,,PASS,1,,,,,,,06:12:48 Press#03 SN AX10004 Fpeak 5.08 KN depth 12.03mm result Y,
REC-0021,,NS-84721,AX10004,Line 2,Day,STN-03,Press Fit,depth,12.03,mm,11.8,12.2,12,,PASS,1,,,,,,,06:12:48 Press#03 SN AX10004 Fpeak 5.08 KN depth 12.03mm result Y,
REC-0022,,NS-84721,AX10002,Line 2,Day,L-2,Leak,Pressure drop,1.4,kPa,,1.5,0,10,PASS,1,,,,,,,2026/07/14-06:18:01 L2 AX10002 drop=1.4 kPa over 10 sec (limit 1.5) PASS,
REC-0023,,NS-84721,AX10003,Line 2,Day,L-2,Leak,Pressure start,350.1,,,1.5,0,10,FAIL,1,LEAK_HIGH,,,,,,AX10003: 350.1 -> 347.9 kPa; delta 2.2; LEAK FAIL,
REC-0024,,NS-84721,AX10003,Line 2,Day,L-2,Leak,Pressure end,347.9,kPa,,1.5,0,10,FAIL,1,LEAK_HIGH,,,,,,AX10003: 350.1 -> 347.9 kPa; delta 2.2; LEAK FAIL,
REC-0025,,NS-84721,AX10003,Line 2,Day,L-2,Leak,Pressure drop,2.2,,,1.5,0,10,FAIL,1,LEAK_HIGH,,,,,,AX10003: 350.1 -> 347.9 kPa; delta 2.2; LEAK FAIL,
REC-0026,,NS-84721,AX10001,Line 2,Day,V4,Vision,label offset x,0.21,mm,-0.5,0.5,0,,PASS,1,,,,,,,AX10001 IMG_77102 gasket present=yes label offset x:+0.21mm y:-0.08mm score .992 PASS,
REC-0027,,NS-84721,AX10001,Line 2,Day,V4,Vision,label offset y,-0.08,mm,-0.5,0.5,0,,PASS,1,,,,,,,AX10001 IMG_77102 gasket present=yes label offset x:+0.21mm y:-0.08mm score .992 PASS,
REC-0028,,NS-84721,AX10001,Line 2,Day,V4,Vision,score,0.992,,,,,,PASS,1,,,,,,,AX10001 IMG_77102 gasket present=yes label offset x:+0.21mm y:-0.08mm score .992 PASS,
REC-0029,,NS-84721,AX10002,Line 2,Day,V4,Vision,offset x,0.35,,-0.5,0.5,0,,PASS,1,,,,,,,"SN=AX10002; gasket=1; OCR='NS-A10002'; offset=(0.35,-0.10); confidence=98.7%; status OK",
REC-0030,,NS-84721,AX10002,Line 2,Day,V4,Vision,offset y,-0.1,,-0.5,0.5,0,,PASS,1,,,,,,,"SN=AX10002; gasket=1; OCR='NS-A10002'; offset=(0.35,-0.10); confidence=98.7%; status OK",
REC-0031,,NS-84721,AX10002,Line 2,Day,V4,Vision,confidence,98.7,%,95,100,100,,PASS,1,,,,,,,"SN=AX10002; gasket=1; OCR='NS-A10002'; offset=(0.35,-0.10); confidence=98.7%; status OK",
REC-0032,,NS-84721,AX10003,Line 2,Day,V4,Vision,skew,1.2,Â°,0,2.5,0,,PASS,2,,,,,,,manual adjust AX10003 / second image / skew=1.2Â° / conf .981 / accepted,
REC-0033,,NS-84721,AX10003,Line 2,Day,V4,Vision,conf,0.981,,,,,,PASS,2,,,,,,,manual adjust AX10003 / second image / skew=1.2Â° / conf .981 / accepted,
REC-0034,,NS-84721,AX10004,Line 2,Day,V4,Vision,barcode unreadable (glare),,,,,,,REVIEW,1,OCR_GLARE,,,,,,"06:25:19 V4: AX10004 gasket present, barcode unreadable (glare) result=REVIEW",
REC-0035,,NS-84721,AX10002,Line 2,Day,FTB-07,Functional,I,1.91,A,,,,,PASS,1,,,,,,,AX10002|I=1.91A|RPM=1492|Vout=24.02|vib=2.1mm/s|tempÎ=4.3|PASS,
REC-0036,,NS-84721,AX10002,Line 2,Day,FTB-07,Functional,RPM,1492,,,,,,PASS,1,,,,,,,AX10002|I=1.91A|RPM=1492|Vout=24.02|vib=2.1mm/s|tempÎ=4.3|PASS,
REC-0037,,NS-84721,AX10002,Line 2,Day,FTB-07,Functional,Vout,24.02,,,,,,PASS,1,,,,,,,AX10002|I=1.91A|RPM=1492|Vout=24.02|vib=2.1mm/s|tempÎ=4.3|PASS,
REC-0038,,NS-84721,AX10002,Line 2,Day,FTB-07,Functional,vib,2.1,mm/s,,,,,PASS,1,,,,,,,AX10002|I=1.91A|RPM=1492|Vout=24.02|vib=2.1mm/s|tempÎ=4.3|PASS,
REC-0039,,NS-84721,AX10002,Line 2,Day,FTB-07,Functional,tempÎ,4.3,,,,,,PASS,1,,,,,,,AX10002|I=1.91A|RPM=1492|Vout=24.02|vib=2.1mm/s|tempÎ=4.3|PASS,
REC-0040,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,current,2.38,amps,1.5,2.2,1.9,,FAIL,1,CURRENT_HIGH,,,,,,AX10003 current 2.38 amps HIGH (max 2.20) speed 1411 rpm vibration 3.9 FAIL,
REC-0041,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,speed,1411,rpm,1450,1520,1500,,FAIL,1,CURRENT_HIGH,,,,,,AX10003 current 2.38 amps HIGH (max 2.20) speed 1411 rpm vibration 3.9 FAIL,
REC-0042,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,vibration,3.9,,0,3,0,,FAIL,1,CURRENT_HIGH,,,,,,AX10003 current 2.38 amps HIGH (max 2.20) speed 1411 rpm vibration 3.9 FAIL,
REC-0043,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,amps,2.03,,,,,,PASS,2,,,,,,,REPEAT AX10003 : amps=2.03 / rpm 1481 / volt 23.91 / vib 2.0 / PASS,
REC-0044,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,rpm,1481,,,,,,PASS,2,,,,,,,REPEAT AX10003 : amps=2.03 / rpm 1481 / volt 23.91 / vib 2.0 / PASS,
REC-0045,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,volt,23.91,,,,,,PASS,2,,,,,,,REPEAT AX10003 : amps=2.03 / rpm 1481 / volt 23.91 / vib 2.0 / PASS,
REC-0046,,NS-84721,AX10003,Line 2,Day,FTB-07,Functional,vib,2,,,,,,PASS,2,,,,,,,REPEAT AX10003 : amps=2.03 / rpm 1481 / volt 23.91 / vib 2.0 / PASS,
REC-0047,,NS-84721,AX10001,Line 2,Day,Electrical,Electrical,pin1-pin3 resistance,0.184,ohm,0,0.22,0,,PASS,1,,,,,,,AX10001 pin1-pin3 0.184 ohm; insulation >200 Mohm @500V; PASS,
REC-0048,,NS-84721,AX10001,Line 2,Day,Electrical,Electrical,insulation,200,Mohm,,,,,PASS,1,,,,,,,AX10001 pin1-pin3 0.184 ohm; insulation >200 Mohm @500V; PASS,
REC-0049,,NS-84721,AX10002,Line 2,Day,Electrical,Electrical,continuity,185,mÎ©,,,,,PASS,1,,,,,,,serial AX10002 continuity=185mÎ© IR=214MÎ© dielectric=0.18mA result GOOD,
REC-0050,,NS-84721,AX10002,Line 2,Day,Electrical,Electrical,IR,214,MÎ©,,,,,PASS,1,,,,,,,serial AX10002 continuity=185mÎ© IR=214MÎ© dielectric=0.18mA result GOOD,
REC-0051,,NS-84721,AX10002,Line 2,Day,Electrical,Electrical,dielectric,0.18,mA,,,,,PASS,1,,,,,,,serial AX10002 continuity=185mÎ© IR=214MÎ© dielectric=0.18mA result GOOD,
REC-0052,,NS-84721,AX10003,Line 2,Day,Electrical,Electrical,resistance warning,0.21,Î©,0,0.22,0,,REVIEW,1,,,,,,,"* resistance close to upper control warning 0.210Î©, within spec 0.220Î©",
REC-0053,,NS-84721,AX10004,Line 2,Day,Electrical,Electrical,R,0.176,ohm,,,,,PASS,1,,,,,,,AX10004 test 06:40:33 R:0.176ohm IR:>250Mohm hipot leakage .16mA P,
REC-0054,,NS-84721,AX10004,Line 2,Day,Electrical,Electrical,IR,250,Mohm,,,,,PASS,1,,,,,,,AX10004 test 06:40:33 R:0.176ohm IR:>250Mohm hipot leakage .16mA P,
REC-0055,,NS-84721,AX10004,Line 2,Day,Electrical,Electrical,hipot leakage,0.16,mA,,,,,PASS,1,,,,,,,AX10004 test 06:40:33 R:0.176ohm IR:>250Mohm hipot leakage .16mA P,
REC-0056,,NS-84721,AX10001,Line 2,Day,Pack-Out,Pack-Out,wt,3.842,kg,,,,,PASS,1,,,,,,,AX10001 wt=3.842 kg accessories 3/3 label ok box seal OK,
REC-0057,,NS-84721,AX10003,Line 2,Day,Pack-Out,Pack-Out,weight,3849,g,,,,,PASS,1,,,,,,,AX10003 3849g / manual bag present / QR scan good / released,
REC-0058,,NS-84721,AX10004,Line 2,Day,Pack-Out,Pack-Out,weight,3.79,kg,,,,,HOLD,1,,,,,,,AX10004 weight 3.79kg ? lower than nominal; reweigh 3.795 kg; accessory count 2 of 3 HOLD,
REC-0059,,NS-84721,AX10004,Line 2,Day,Pack-Out,Pack-Out,reweigh,3.795,kg,,,,,HOLD,1,,,,,,,AX10004 weight 3.79kg ? lower than nominal; reweigh 3.795 kg; accessory count 2 of 3 HOLD,
